,w1,w2,predict,actual
0,เก่า,ใหม่,0.554755,2.19
1,หลักแหลม,ฉลาด,0.6049496,8.44
2,ยาก,ยาก,1.0,10.0
3,สุข,ร่าเริง,0.2764862,6.67
4,ยาก,ง่าย,0.67417556,2.29
5,ด่วน,รวดเร็ว,0.2583449,7.19
6,สุข,ยินดี,0.36814043,5.31
7,สั้น,ยาว,0.5648586,2.4
8,เซ่อ,ทึ่ม,0.31349304,7.19
9,พิกล,แปลกประหลาด,0.4632501,7.6
10,กว้าง,แคบ,0.6055557,2.29
11,แย่,ห่วย,0.36808473,8.54
12,ง่าย,ยาก,0.67417556,2.19
13,เลว,แย่,0.38324034,6.77
14,ยาก,ง่าย,0.67417556,1.98
15,หลักแหลม,ทึ่ม,0.31997386,1.98
16,วิกลจริต,บ้า,0.30108315,8.65
17,สุข,บ้าคลั่ง,0.14172782,0.73
18,ใหญ่,ใหญ่,0.99999994,10.0
19,ยาก,ยาก,1.0,10.0
20,ใหม่,สด,0.21806851,7.4
21,แหลม,ทื่อ,0.36133203,1.67
22,เร็ว,ว่องไว,0.41211998,8.54
23,ทึ่ม,โง่,0.33692265,8.44
24,มหัศจรรย์,เป็นเลิศ,0.3056813,3.65
25,แปลก,แปลก,1.0,9.9
26,สุข,โกรธ,0.19809496,1.67
27,แคบ,กว้าง,0.6055557,2.19
28,เรียบ,ง่าย,0.32685044,4.17
29,เก่า,สด,0.14708193,1.25
30,ชัดเจน,ชัดเจน,1.0,10.0
31,ไม่แพง,ย่อมเยา,0.404846,8.54
32,ดี,ใจกว้าง,0.30639425,3.33
33,ประหลาด,ปกติ,0.32271114,1.35
34,ประหลาด,แปลก,0.49120864,7.81
35,เลว,ชั่ว,0.32328114,8.23
36,เศร้า,สนุกสนาน,0.4966672,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.24657623,6.04
38,รู้สึกผิด,ละอาย,0.60089463,7.92
39,งดงาม,มหัศจรรย์,0.30770496,4.38
40,มั่นใจ,แน่ใจ,0.5788787,8.85
41,ทึ่ม,หัวทึบ,0.47301647,7.81
42,กว้าง,ใหญ่,0.3201379,7.5
43,ดี,โหดร้าย,0.269775,1.46
44,ใจร้อน,กระวนกระวาย,0.52850974,4.48
45,ใหญ่,กว้าง,0.3201379,6.98
46,แข็งแรง,ภูมิใจ,0.18236084,0.42
47,ไม่จำเป็น,จำเป็น,0.70219547,1.98
48,กระสับกระส่าย,อ่อนวัย,0.38283694,0.21
49,ทึ่ม,ฉลาด,0.3228866,1.88
50,เลว,ยอดเยี่ยม,0.1308435,0.73
51,ยาก,ง่าย,0.67417556,1.98
52,จำเป็น,สำคัญ,0.3593386,8.44
53,ชั่วร้าย,เป็นเลิศ,0.3198696,0.21
54,บ้า,ยินดี,0.24137376,0.42
55,ซื่อสัตย์,รู้สึกผิด,0.41006738,0.94
56,ง่าย,ยาก,0.67417556,1.77
57,ง่าย,ยืดหยุ่น,0.46318424,1.25
58,แน่นอน,แน่นอน,1.0,9.9
59,จำเป็น,จำเป็น,1.0,9.9
60,แตกต่าง,ปกติ,0.4370368,1.15
61,เจ้าเล่ห์,ฉลาด,0.5875041,5.1
62,สำคัญมาก,สำคัญ,0.7895287,8.85
63,รุนแรง,โหดร้าย,0.43124765,5.73
64,ใสซื่อ,โง่,0.45555088,3.23
65,ขาดแคลน,หายาก,0.35399044,7.92
66,เป็นมิตร,ใจดี,0.4190824,7.08
67,บอบบาง,เยือกเย็น,0.36657184,0.52
68,ยาว,แคบ,0.533418,1.67
69,ใหญ่,หนัก,0.27737856,2.6
70,หยาบ,เย็นชา,0.28582448,1.35
71,ผิดปกติ,แปลก,0.27893075,7.92
72,ผิดกฏหมาย,ผิดศีลธรรม,0.49464384,5.52
73,เลว,รู้สึกผิด,0.29459444,1.04
74,ทันสมัย,โบราณ,0.2909701,1.77
75,ใหม่,โบราณ,0.28881112,1.56
76,น่าเบื่อ,สนุกสนาน,0.5517189,1.77
77,มีความสุข,อ่อนวัย,0.45274207,0.94
78,ง่าย,ใหญ่,0.2049887,0.21
79,ยอดเยี่ยม,แย่,0.30904207,1.77
80,เล็ก,ใหญ่,0.52040786,1.98
81,สุภาพ,เหมาะสม,0.22569117,4.38
82,เจียมเนื้อเจียมตัว,ละอาย,0.5050816,2.5
83,แปลกใหม่,หายาก,0.3024734,2.6
84,ทึ่ม,ฉลาด,0.3228866,2.08
85,รื่นรมย์,มหัศจรรย์,0.29382685,1.46
86,เห็นได้ชัด,ชัดเจน,0.60822153,8.44
87,กลัว,กระวนกระวาย,0.50838214,5.1
88,เป็นทางการ,เหมาะสม,0.17163199,4.9
89,น่าเบื่อ,เบื่อ,0.5698905,9.06
90,น่ารื่นรมย์,ร่าเริง,0.5450232,6.88
91,เศร้า,โกรธ,0.49003568,3.44
92,เศร้า,แย่,0.32605085,3.65
93,ป่วย,บ้า,0.22609392,1.56
94,รุนแรง,โกรธ,0.4067504,3.75
95,ภาระ,หนัก,0.36914316,3.02
96,สกปรก,ถูก,0.24914435,0.42
97,ยืดหยุ่น,ยืดหยุ่น,1.0,10.0
98,แข็ง,หนาแน่น,0.3828224,5.42
99,ล่าสุด,ใหม่,0.49330467,9.38
100,กล้าหาญ,ภูมิใจ,0.4111426,3.13
101,เจ้าเล่ห์,แปลก,0.2871208,0.1
102,แปลก,เจ้าเล่ห์,0.2871208,0.1
103,ทึ่ม,หายาก,0.37201276,0.0
104,เจ้าเล่ห์,กุ๊ย,0.40656117,0.42
105,ยอดเยี่ยม,บ้า,0.15891404,0.1
106,พอเหมาะ,ยืดหยุ่น,0.4458916,1.77
107,สดใหม่,กว้าง,0.169517,0.0
108,ใหญ่,ทึ่ม,0.14974405,0.0
109,ใหญ่,ยืดหยุ่น,0.11910201,0.1
110,สกปรก,แคบ,0.2258292,0.83
111,ภรรยา,สามี,0.7951011,4.27
112,หนังสือ,ข้อความ,0.40295038,3.96
