,w1,w2,predict,actual
0,เก่า,ใหม่,0.47211343,2.19
1,หลักแหลม,ฉลาด,0.6041248,8.44
2,ยาก,ยาก,0.9999999,10.0
3,สุข,ร่าเริง,0.28093046,6.67
4,ยาก,ง่าย,0.62811476,2.29
5,ด่วน,รวดเร็ว,0.28886867,7.19
6,สุข,ยินดี,0.2551705,5.31
7,สั้น,ยาว,0.58785456,2.4
8,เซ่อ,ทึ่ม,0.22823025,7.19
9,พิกล,แปลกประหลาด,0.42743683,7.6
10,กว้าง,แคบ,0.5790037,2.29
11,แย่,ห่วย,0.5644813,8.54
12,ง่าย,ยาก,0.62811476,2.19
13,เลว,แย่,0.46651572,6.77
14,ยาก,ง่าย,0.62811476,1.98
15,หลักแหลม,ทึ่ม,0.28050095,1.98
16,วิกลจริต,บ้า,0.2933512,8.65
17,สุข,บ้าคลั่ง,0.16910152,0.73
18,ใหญ่,ใหญ่,0.99999994,10.0
19,ยาก,ยาก,0.9999999,10.0
20,ใหม่,สด,0.28654295,7.4
21,แหลม,ทื่อ,0.29396147,1.67
22,เร็ว,ว่องไว,0.40704155,8.54
23,ทึ่ม,โง่,0.31862485,8.44
24,มหัศจรรย์,เป็นเลิศ,0.22363994,3.65
25,แปลก,แปลก,1.0000001,9.9
26,สุข,โกรธ,0.21857119,1.67
27,แคบ,กว้าง,0.5790037,2.19
28,เรียบ,ง่าย,0.3131517,4.17
29,เก่า,สด,0.20739307,1.25
30,ชัดเจน,ชัดเจน,1.0,10.0
31,ไม่แพง,ย่อมเยา,0.38145715,8.54
32,ดี,ใจกว้าง,0.40194938,3.33
33,ประหลาด,ปกติ,0.23026799,1.35
34,ประหลาด,แปลก,0.62499857,7.81
35,เลว,ชั่ว,0.4991357,8.23
36,เศร้า,สนุกสนาน,0.33933142,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.3749979,6.04
38,รู้สึกผิด,ละอาย,0.544457,7.92
39,งดงาม,มหัศจรรย์,0.39671597,4.38
40,มั่นใจ,แน่ใจ,0.59150654,8.85
41,ทึ่ม,หัวทึบ,0.23476745,7.81
42,กว้าง,ใหญ่,0.35635898,7.5
43,ดี,โหดร้าย,0.23279445,1.46
44,ใจร้อน,กระวนกระวาย,0.44622332,4.48
45,ใหญ่,กว้าง,0.35635898,6.98
46,แข็งแรง,ภูมิใจ,0.21401027,0.42
47,ไม่จำเป็น,จำเป็น,0.6139582,1.98
48,กระสับกระส่าย,อ่อนวัย,0.32738486,0.21
49,ทึ่ม,ฉลาด,0.36119664,1.88
50,เลว,ยอดเยี่ยม,0.18179032,0.73
51,ยาก,ง่าย,0.62811476,1.98
52,จำเป็น,สำคัญ,0.50849485,8.44
53,ชั่วร้าย,เป็นเลิศ,0.24504884,0.21
54,บ้า,ยินดี,0.10126929,0.42
55,ซื่อสัตย์,รู้สึกผิด,0.36185512,0.94
56,ง่าย,ยาก,0.62811476,1.77
57,ง่าย,ยืดหยุ่น,0.36948317,1.25
58,แน่นอน,แน่นอน,1.0000001,9.9
59,จำเป็น,จำเป็น,1.0,9.9
60,แตกต่าง,ปกติ,0.3792293,1.15
61,เจ้าเล่ห์,ฉลาด,0.4445825,5.1
62,สำคัญมาก,สำคัญ,0.76095587,8.85
63,รุนแรง,โหดร้าย,0.4593604,5.73
64,ใสซื่อ,โง่,0.4094553,3.23
65,ขาดแคลน,หายาก,0.24846616,7.92
66,เป็นมิตร,ใจดี,0.43739158,7.08
67,บอบบาง,เยือกเย็น,0.31965816,0.52
68,ยาว,แคบ,0.4453238,1.67
69,ใหญ่,หนัก,0.3613063,2.6
70,หยาบ,เย็นชา,0.26226923,1.35
71,ผิดปกติ,แปลก,0.34965312,7.92
72,ผิดกฏหมาย,ผิดศีลธรรม,0.60451,5.52
73,เลว,รู้สึกผิด,0.35066512,1.04
74,ทันสมัย,โบราณ,0.2892591,1.77
75,ใหม่,โบราณ,0.23696479,1.56
76,น่าเบื่อ,สนุกสนาน,0.48042113,1.77
77,มีความสุข,อ่อนวัย,0.32037002,0.94
78,ง่าย,ใหญ่,0.16460301,0.21
79,ยอดเยี่ยม,แย่,0.36253023,1.77
80,เล็ก,ใหญ่,0.5167003,1.98
81,สุภาพ,เหมาะสม,0.35166502,4.38
82,เจียมเนื้อเจียมตัว,ละอาย,0.35218957,2.5
83,แปลกใหม่,หายาก,0.2853186,2.6
84,ทึ่ม,ฉลาด,0.36119664,2.08
85,รื่นรมย์,มหัศจรรย์,0.29863507,1.46
86,เห็นได้ชัด,ชัดเจน,0.57022464,8.44
87,กลัว,กระวนกระวาย,0.44685552,5.1
88,เป็นทางการ,เหมาะสม,0.15935665,4.9
89,น่าเบื่อ,เบื่อ,0.6386698,9.06
90,น่ารื่นรมย์,ร่าเริง,0.4694922,6.88
91,เศร้า,โกรธ,0.49675736,3.44
92,เศร้า,แย่,0.46714446,3.65
93,ป่วย,บ้า,0.3018031,1.56
94,รุนแรง,โกรธ,0.43149003,3.75
95,ภาระ,หนัก,0.31095487,3.02
96,สกปรก,ถูก,0.2343067,0.42
97,ยืดหยุ่น,ยืดหยุ่น,1.0,10.0
98,แข็ง,หนาแน่น,0.28042895,5.42
99,ล่าสุด,ใหม่,0.5259776,9.38
100,กล้าหาญ,ภูมิใจ,0.38585088,3.13
101,เจ้าเล่ห์,แปลก,0.31926602,0.1
102,แปลก,เจ้าเล่ห์,0.31926602,0.1
103,ทึ่ม,หายาก,0.23204948,0.0
104,เจ้าเล่ห์,กุ๊ย,0.43592608,0.42
105,ยอดเยี่ยม,บ้า,0.15614304,0.1
106,พอเหมาะ,ยืดหยุ่น,0.3325239,1.77
107,สดใหม่,กว้าง,0.17816244,0.0
108,ใหญ่,ทึ่ม,0.117973305,0.0
109,ใหญ่,ยืดหยุ่น,0.12353817,0.1
110,สกปรก,แคบ,0.31835252,0.83
111,ภรรยา,สามี,0.86285585,4.27
112,หนังสือ,ข้อความ,0.31040853,3.96
113,เจ้าบ่าว,เจ้าสาว,0.8189336,4.48
114,กลางคืน,กลางวัน,0.77637815,3.65
115,ทิศใต้,ทิศเหนือ,0.88719684,3.65
116,เครื่องบิน,สนามบิน,0.50256664,3.96
117,ลุง,ป้า,0.49847698,4.06
118,ม้า,แม่ม้า,0.54559314,4.27
119,ก้น ,จุดสูงสุด,0.25089088,0.83
120,เพื่อน,คู่หู,0.42246523,6.46
121,นักเรียน,นักเรียน,0.99999994,10.0
122,โลก,โลก,1.0,9.38
123,ขา,แขน,0.54685456,3.54
124,เครื่องบิน,เครื่องบินเจ็ต,0.9344181,6.15
125,สุภาพสตรี,สุภาพบุรุษ,0.66092104,3.23
126,ม้า,ม้าตัวผู้,0.4041251,5.31
127,นักแสดงหญิง,นักแสดงชาย,0.8151155,3.33
128,อาจารย์,ผู้สอน,0.5144852,8.65
129,หนัง,ฟิล์ม,0.22454482,5.42
130,นก,เหยี่ยว,0.56508774,5.94
131,คำ,พจนานุกรม,0.48493358,3.75
132,เงิน,เงินเดือน,0.3927358,5.63
133,หมา,แมว,0.5490484,3.13
134,พื้นที่,ภูมิภาค,0.42301685,5.1
135,กองทัพเรือ,กองทัพบก,0.7207084,4.58
136,หนังสือ,วรรณกรรม,0.52949727,5.31
137,เสื้อผ้า,ตู้เสื้อผ้า,0.50286794,4.27
138,พระอาทิตย์ตก,พระอาทิตย์ขึ้น,0.90543956,3.54
139,เด็ก,ผู้ใหญ่,0.65666443,3.96
140,วัว,ปศุสัตว์,0.40151274,3.54
141,หนังสือ,เรื่องราว,0.34166396,3.33
142,ฤดูหนาว,ฤดูร้อน,0.83081913,3.44
143,แท็กซี่,แท็กซี่,1.0,10.0
144,ต้นไม้,ต้นเมเปิล,0.61998135,6.67
145,เตียง,ห้องนอน,0.59618485,4.17
146,หลังคา,เพดาน,0.51185924,4.9
147,โรค,การติดเชื้อ,0.54507816,5.73
148,แขน,ไหล่,0.67314345,4.06
149,แกะ,ลูกแกะ,0.55213934,5.73
150,สตรี,บุรุษ,0.5426295,3.13
151,เรือ,สมอ,0.18047667,3.54
152,นักบวช,พระ,0.3670529,6.35
153,นิ้วเท้า,นิ้วมือ,0.72461903,3.44
154,แม่น้ำ,สายน้ำ,0.6441143,6.46
155,โกรธ,โกรธ,1.0,10.0
