,w1,w2,predict,actual
0,เก่า,ใหม่,0.6430516,2.19
1,หลักแหลม,ฉลาด,0.23375925,8.44
2,ยาก,ยาก,1.0000001,10.0
3,สุข,ร่าเริง,0.41428497,6.67
4,ยาก,ง่าย,0.6740525,2.29
5,ด่วน,รวดเร็ว,0.3635774,7.19
6,สุข,ยินดี,0.42061248,5.31
7,สั้น,ยาว,0.7100498,2.4
8,เซ่อ,ทึ่ม,0.25084475,7.19
9,พิกล,แปลกประหลาด,0.15260854,7.6
10,กว้าง,แคบ,0.6184431,2.29
11,แย่,ห่วย,0.29363495,8.54
12,ง่าย,ยาก,0.6740525,2.19
13,เลว,แย่,0.36348203,6.77
14,ยาก,ง่าย,0.6740525,1.98
15,หลักแหลม,ทึ่ม,0.072539225,1.98
16,วิกลจริต,บ้า,0.37934643,8.65
17,สุข,บ้าคลั่ง,0.30412984,0.73
18,ใหญ่,ใหญ่,1.0,10.0
19,ยาก,ยาก,1.0000001,10.0
20,ใหม่,สด,0.15777801,7.4
21,แหลม,ทื่อ,0.17802316,1.67
22,เร็ว,ว่องไว,0.47927117,8.54
23,ทึ่ม,โง่,0.25812402,8.44
24,มหัศจรรย์,เป็นเลิศ,0.09333283,3.65
25,แปลก,แปลก,0.9999999,9.9
26,สุข,โกรธ,0.2933903,1.67
27,แคบ,กว้าง,0.6184431,2.19
28,เรียบ,ง่าย,0.6232118,4.17
29,เก่า,สด,0.15253589,1.25
30,ชัดเจน,ชัดเจน,1.0,10.0
31,ไม่แพง,ย่อมเยา,-0.053262368,8.54
32,ดี,ใจกว้าง,-0.04291299,3.33
33,ประหลาด,ปกติ,0.34992704,1.35
34,ประหลาด,แปลก,0.73601174,7.81
35,เลว,ชั่ว,0.57592636,8.23
36,เศร้า,สนุกสนาน,0.3598741,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.34436262,6.04
38,รู้สึกผิด,ละอาย,0.2563957,7.92
39,งดงาม,มหัศจรรย์,0.4304028,4.38
40,มั่นใจ,แน่ใจ,0.4344322,8.85
41,ทึ่ม,หัวทึบ,0.12845038,7.81
42,กว้าง,ใหญ่,0.5359424,7.5
43,ดี,โหดร้าย,-0.0015215972,1.46
44,ใจร้อน,กระวนกระวาย,0.33233443,4.48
45,ใหญ่,กว้าง,0.5359424,6.98
46,แข็งแรง,ภูมิใจ,0.29925337,0.42
47,ไม่จำเป็น,จำเป็น,0.566713,1.98
48,กระสับกระส่าย,อ่อนวัย,0.3887702,0.21
49,ทึ่ม,ฉลาด,0.22533719,1.88
50,เลว,ยอดเยี่ยม,0.25578985,0.73
51,ยาก,ง่าย,0.6740525,1.98
52,จำเป็น,สำคัญ,0.6000312,8.44
53,ชั่วร้าย,เป็นเลิศ,0.07025158,0.21
54,บ้า,ยินดี,0.1325839,0.42
55,ซื่อสัตย์,รู้สึกผิด,0.3105326,0.94
56,ง่าย,ยาก,0.6740525,1.77
57,ง่าย,ยืดหยุ่น,0.48716617,1.25
58,แน่นอน,แน่นอน,1.0,9.9
59,จำเป็น,จำเป็น,0.9999999,9.9
60,แตกต่าง,ปกติ,0.38903973,1.15
61,เจ้าเล่ห์,ฉลาด,0.23200087,5.1
62,สำคัญมาก,สำคัญ,0.5373855,8.85
63,รุนแรง,โหดร้าย,0.34609762,5.73
64,ใสซื่อ,โง่,0.29282114,3.23
65,ขาดแคลน,หายาก,0.01650462,7.92
66,เป็นมิตร,ใจดี,0.2476934,7.08
67,บอบบาง,เยือกเย็น,0.309746,0.52
68,ยาว,แคบ,0.39359704,1.67
69,ใหญ่,หนัก,0.43573225,2.6
70,หยาบ,เย็นชา,0.15918173,1.35
71,ผิดปกติ,แปลก,0.31804395,7.92
72,ผิดกฏหมาย,ผิดศีลธรรม,0.5442188,5.52
73,เลว,รู้สึกผิด,0.3512884,1.04
