,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.24675709,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.42701665,1.08
2,รถยนต์,จักรยาน,0.48267907,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.18839021,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0,3.95
5,ช้อผิดพลาด,ระบบ,0.30630627,1.28
6,อาวุธ,หมวกนิรภัย,0.3709206,0.84
7,คนเขียนบท,โทรทัศน์,0.48487124,1.41
8,สหประชาชาติ,บัน คี มูน,0.31354055,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.54713804,2.38
10,โบสถ์ใหญ่,โมเสค,0.37283587,1.69
11,การวาดภาพสีน้ำ,แปรง,0.41116917,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.4831016,2.19
13,เกาส์,นักวิทยาศาสตร์,0.21273124,1.09
14,วัณโรค,แอลอีดี,0.35814735,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.45200598,3.7
16,วันสิ้นโลก,ไฟ,0.20220411,0.67
17,ความเร็ว,ไปรษณีย์,0.1201648,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.867823,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.67626095,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.40794122,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.4473949,2.98
22,ตัวชี้,สไลด์,0.27654445,1.81
23,เซ็นเซอร์,รังสี,0.3253669,2.23
24,ตี,กรอบ,0.16218354,0.55
25,ทฤษฎี,สมมติฐาน,0.6537802,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.47153097,2.59
27,ดาร์วิน,วิวัฒนาการ,0.2622244,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.88336587,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.58621603,2.44
30,เพลงชาติ,การรักชาติ,0.36798576,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.57203907,3.47
32,นมเนย,น้ำผึ้ง,0.4880554,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0,4.0
34,ชักเย่อ,บันไดงู,0.21958609,1.58
35,ยาฆ่าแมลง,แมลง,0.60030437,1.89
36,ตำรวจ,นักการเมือง,0.35638076,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.6621486,2.19
38,แบตเตอรี่,พลังงาน,0.50777507,2.75
39,กองทหารเกียรติยศ,เครื่องเขียน,0.26449692,0.0
40,สไปเดอร์แมน,ถนน,0.123339236,0.27
41,คาบสมุทร,เกาะ,0.5395416,1.83
42,เส้นศูนย์สูตร,เอกวาดอร์,0.34607473,1.31
43,แผนผัง,กราฟ,0.30830562,2.25
44,การจำลอง,ศาสตร์หุ่นยนต์,0.3396274,1.59
45,ไนกี้,อดิดาส,0.49157187,3.16
46,สังคม,วัฒนธรรม,0.56265193,2.84
47,เกมกลยุทธ์,กลยุทธ์,0.91904014,3.13
48,โบสถ์,โบสถ์ใหญ่,0.7613045,3.75
49,ล่าม,ชาวต่างชาติ,0.30227372,2.17
50,ไปโอโทป,ชีววิทยา,0.394215,2.67
51,แมกม่า,ภูเขาไฟ,0.5206547,2.75
52,การระดมสมอง,กล้องโทรทรรศน์,0.27046147,0.27
53,ระดับ,คะแนน,0.21582524,2.55
54,เพนนี,ต่อรอง,0.16136405,0.61
55,พรรคการเมือง,สมาคม,0.27130827,2.31
56,สึนามิ,ทะเล,0.36006087,2.14
57,นกกระจอกเทศ,สวนกล้วยไม้,0.42515984,0.06
58,อบเชย,ลูกอม,0.42693028,0.38
59,ไม้กวาด,ฝุ่น,0.2646742,2.19
60,แกแลคซี่,นักดาราศาสตร์,0.27950773,2.13
61,น้ำผลไม้,มิลค์เชค,0.42517197,2.31
62,มู่ลี่,ม่าน,0.48330855,3.38
63,อาชญากร,ผู้กระทำผิด,0.5342709,3.58
64,มะเร็งตับอ่อน,การทำคีโม,0.47247916,2.05
65,อดีต,มาก่อน,0.3271895,2.86
66,สหประชาชาติ,รัฐสภายุโรป,0.4469715,2.85
67,เพลง,ผู้แสดง,0.37802094,1.41
68,ปืน,โน๊ตบุ๊ค,0.2539355,0.0
69,สารสื่อประสาท,ม่านตา,0.44109553,1.77
70,อักษร,ปากกา,0.24689096,1.78
71,ประสานเสียง,นักร้อง,0.5629955,2.36
72,ไม้,ผ้าห่ม,0.38075638,0.06
73,ทหาร,สันติภาพ,0.25518817,1.69
74,ชาวอังกฤษ,ชาวอเมริกัน,0.61808866,2.78
75,กิ้งก่า,จระเข้,0.48034966,2.41
76,เงิน,เงินสด,0.65311813,3.7
77,ปลาหมึกพอล,ปลาหมึกยักษ์,0.8684697,3.48
78,ปฏิทิน,วันหยุด,0.36010763,1.98
79,เบส,สารเคมี,0.22453566,2.23
80,รัฐบาล,กิ้งก่า,0.0845186,0.13
81,เงินเยน,การฟอกเงิน,0.5368783,1.09
82,ดีพไมนด์,กูเกิ้ล ดีพไมนด์,0.8243323,2.95
83,หมากรุก,รุก,0.31328654,1.45
84,โคลง,ความงาม,0.2385057,0.8
85,คนงาน,สำนักงาน,0.24451394,1.58
86,เงินตรา,แลกเปลี่ยน,0.4072011,1.78
87,ใยสังเคราะห์,ฝ้าย,0.45280865,2.58
88,ศาล,ยุติธรรม,0.4230234,2.3
89,หาง,ท้าย,0.26515636,2.91
90,อุบัติเหตุ,หนังสือ,0.022613099,0.06
91,พายุ,ลม,0.4411054,2.77
92,เปียโน,ประสานเสียง,0.57807434,1.95
93,สุลต่าน,กระทรวง,0.20643729,0.72
94,ทะเลทราย,เนินทราย,0.54616207,2.5
95,การคูณ,การหาร,0.4478051,2.75
96,ไวรัส,เลือด,0.32538018,1.41
97,ยุคน้ำแข็ง,พระราชบัญญัติ,0.10927246,0.0
98,ดาบ,สภาพแวดล้อม,0.10110993,0.06
99,โรงเรียนประถม,ปากกา,0.15032494,0.78
100,จิ้งหรีด,ผู้สนับสนุน,0.1326443,0.0
