,w1,w2,predict,actual
0,เก่า,ใหม่,0.5417944,2.19
1,หลักแหลม,ฉลาด,0.5976815,8.44
2,ยาก,ยาก,1.0,10.0
3,สุข,ร่าเริง,0.29233792,6.67
4,ยาก,ง่าย,0.65605,2.29
5,ด่วน,รวดเร็ว,0.23050506,7.19
6,สุข,ยินดี,0.3746425,5.31
7,สั้น,ยาว,0.5860807,2.4
8,เซ่อ,ทึ่ม,0.32531208,7.19
9,พิกล,แปลกประหลาด,0.444864,7.6
10,กว้าง,แคบ,0.59676754,2.29
11,แย่,ห่วย,0.3296487,8.54
12,ง่าย,ยาก,0.65605,2.19
13,เลว,แย่,0.4282428,6.77
14,ยาก,ง่าย,0.65605,1.98
15,หลักแหลม,ทึ่ม,0.25030977,1.98
16,วิกลจริต,บ้า,0.34822413,8.65
17,สุข,บ้าคลั่ง,0.16535665,0.73
18,ใหญ่,ใหญ่,1.0000001,10.0
19,ยาก,ยาก,1.0,10.0
20,ใหม่,สด,0.19587539,7.4
21,แหลม,ทื่อ,0.3753593,1.67
22,เร็ว,ว่องไว,0.41233295,8.54
23,ทึ่ม,โง่,0.34415147,8.44
24,มหัศจรรย์,เป็นเลิศ,0.2976899,3.65
25,แปลก,แปลก,1.0000001,9.9
26,สุข,โกรธ,0.20733456,1.67
27,แคบ,กว้าง,0.59676754,2.19
28,เรียบ,ง่าย,0.4126994,4.17
29,เก่า,สด,0.16321221,1.25
30,ชัดเจน,ชัดเจน,1.0000001,10.0
31,ไม่แพง,ย่อมเยา,0.3347989,8.54
32,ดี,ใจกว้าง,0.36997172,3.33
33,ประหลาด,ปกติ,0.2928801,1.35
34,ประหลาด,แปลก,0.4721734,7.81
35,เลว,ชั่ว,0.29785007,8.23
36,เศร้า,สนุกสนาน,0.51251286,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.25622842,6.04
38,รู้สึกผิด,ละอาย,0.56517524,7.92
39,งดงาม,มหัศจรรย์,0.2859066,4.38
40,มั่นใจ,แน่ใจ,0.5944099,8.85
41,ทึ่ม,หัวทึบ,0.42401344,7.81
42,กว้าง,ใหญ่,0.3430116,7.5
43,ดี,โหดร้าย,0.31612083,1.46
44,ใจร้อน,กระวนกระวาย,0.5093023,4.48
45,ใหญ่,กว้าง,0.3430116,6.98
46,แข็งแรง,ภูมิใจ,0.17411466,0.42
47,ไม่จำเป็น,จำเป็น,0.7291996,1.98
48,กระสับกระส่าย,อ่อนวัย,0.2983027,0.21
49,ทึ่ม,ฉลาด,0.32993495,1.88
50,เลว,ยอดเยี่ยม,0.19443166,0.73
51,ยาก,ง่าย,0.65605,1.98
52,จำเป็น,สำคัญ,0.3729709,8.44
53,ชั่วร้าย,เป็นเลิศ,0.2773125,0.21
54,บ้า,ยินดี,0.28384766,0.42
55,ซื่อสัตย์,รู้สึกผิด,0.38815755,0.94
56,ง่าย,ยาก,0.65605,1.77
57,ง่าย,ยืดหยุ่น,0.46664175,1.25
58,แน่นอน,แน่นอน,1.0000001,9.9
59,จำเป็น,จำเป็น,0.9999999,9.9
60,แตกต่าง,ปกติ,0.36453238,1.15
61,เจ้าเล่ห์,ฉลาด,0.48251405,5.1
62,สำคัญมาก,สำคัญ,0.77714926,8.85
63,รุนแรง,โหดร้าย,0.44706246,5.73
64,ใสซื่อ,โง่,0.44083232,3.23
65,ขาดแคลน,หายาก,0.32384682,7.92
66,เป็นมิตร,ใจดี,0.51325136,7.08
67,บอบบาง,เยือกเย็น,0.38738772,0.52
68,ยาว,แคบ,0.54421806,1.67
69,ใหญ่,หนัก,0.295648,2.6
70,หยาบ,เย็นชา,0.3308957,1.35
71,ผิดปกติ,แปลก,0.27428105,7.92
72,ผิดกฏหมาย,ผิดศีลธรรม,0.54200435,5.52
73,เลว,รู้สึกผิด,0.31224027,1.04
74,ทันสมัย,โบราณ,0.28180468,1.77
75,ใหม่,โบราณ,0.25933692,1.56
76,น่าเบื่อ,สนุกสนาน,0.5399339,1.77
77,มีความสุข,อ่อนวัย,0.48654157,0.94
78,ง่าย,ใหญ่,0.18177347,0.21
79,ยอดเยี่ยม,แย่,0.29622456,1.77
80,เล็ก,ใหญ่,0.53558964,1.98
81,สุภาพ,เหมาะสม,0.2717013,4.38
82,เจียมเนื้อเจียมตัว,ละอาย,0.4358646,2.5
83,แปลกใหม่,หายาก,0.3215349,2.6
84,ทึ่ม,ฉลาด,0.32993495,2.08
85,รื่นรมย์,มหัศจรรย์,0.3017872,1.46
86,เห็นได้ชัด,ชัดเจน,0.5718241,8.44
