,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.089105025,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.49597389,1.08
2,รถยนต์,จักรยาน,0.41436547,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.192073,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0,3.95
5,ช้อผิดพลาด,ระบบ,0.22355425,1.28
6,อาวุธ,หมวกนิรภัย,0.2562853,0.84
7,คนเขียนบท,โทรทัศน์,0.19129966,1.41
8,สหประชาชาติ,บัน คี มูน,0.14033818,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.6895505,2.38
10,โบสถ์ใหญ่,โมเสค,0.5756174,1.69
11,การวาดภาพสีน้ำ,แปรง,0.07691556,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.29637378,2.19
13,เกาส์,นักวิทยาศาสตร์,0.24987942,1.09
14,วัณโรค,แอลอีดี,0.054842208,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.26562715,3.7
16,วันสิ้นโลก,ไฟ,-0.1016129,0.67
17,ความเร็ว,ไปรษณีย์,0.17526284,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.77157927,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.21774918,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.21394198,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.52753496,2.98
22,ตัวชี้,สไลด์,0.19998653,1.81
23,เซ็นเซอร์,รังสี,0.21503478,2.23
24,ตี,กรอบ,0.08885037,0.55
25,ทฤษฎี,สมมติฐาน,0.5744937,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.12856232,2.59
27,ดาร์วิน,วิวัฒนาการ,0.22496387,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.2864904,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.621236,2.44
30,เพลงชาติ,การรักชาติ,0.7330215,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.20211275,3.47
32,นมเนย,น้ำผึ้ง,-0.023474341,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0,4.0
34,ชักเย่อ,บันไดงู,0.2002768,1.58
35,ยาฆ่าแมลง,แมลง,0.41104126,1.89
36,ตำรวจ,นักการเมือง,0.27701777,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.7798756,2.19
38,แบตเตอรี่,พลังงาน,0.4547751,2.75
39,กองทหารเกียรติยศ,เครื่องเขียน,0.3601908,0.0
40,สไปเดอร์แมน,ถนน,0.10028948,0.27
41,คาบสมุทร,เกาะ,0.4173412,1.83
42,เส้นศูนย์สูตร,เอกวาดอร์,0.3040649,1.31
43,แผนผัง,กราฟ,0.22292309,2.25
44,การจำลอง,ศาสตร์หุ่นยนต์,0.51737815,1.59
45,ไนกี้,อดิดาส,0.21879022,3.16
46,สังคม,วัฒนธรรม,0.639166,2.84
47,เกมกลยุทธ์,กลยุทธ์,0.510461,3.13
48,โบสถ์,โบสถ์ใหญ่,0.42975748,3.75
49,ล่าม,ชาวต่างชาติ,0.1796277,2.17
50,ไปโอโทป,ชีววิทยา,0.047578573,2.67
51,แมกม่า,ภูเขาไฟ,0.1900508,2.75
52,การระดมสมอง,กล้องโทรทรรศน์,0.15665476,0.27
53,ระดับ,คะแนน,0.36663055,2.55
