,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.34562376,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.50936055,1.08
2,รถยนต์,จักรยาน,0.3369542,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.19007346,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0,3.95
5,ช้อผิดพลาด,ระบบ,0.21138668,1.28
6,อาวุธ,หมวกนิรภัย,0.27055725,0.84
7,คนเขียนบท,โทรทัศน์,0.2545044,1.41
8,สหประชาชาติ,บัน คี มูน,0.24817519,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.5296839,2.38
10,โบสถ์ใหญ่,โมเสค,0.41980752,1.69
11,การวาดภาพสีน้ำ,แปรง,0.3136693,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.62871695,2.19
13,เกาส์,นักวิทยาศาสตร์,0.19155522,1.09
14,วัณโรค,แอลอีดี,0.3589646,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.448323,3.7
16,วันสิ้นโลก,ไฟ,0.13908572,0.67
17,ความเร็ว,ไปรษณีย์,0.13708013,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.84190446,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.7018684,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.4085597,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.36535314,2.98
22,ตัวชี้,สไลด์,0.20773703,1.81
23,เซ็นเซอร์,รังสี,0.2790546,2.23
24,ตี,กรอบ,0.253645,0.55
25,ทฤษฎี,สมมติฐาน,0.52539676,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.47216308,2.59
27,ดาร์วิน,วิวัฒนาการ,0.24018961,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.8583253,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.649554,2.44
30,เพลงชาติ,การรักชาติ,0.3430825,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.48613608,3.47
32,นมเนย,น้ำผึ้ง,0.47047397,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0000001,4.0
34,ชักเย่อ,บันไดงู,0.32397914,1.58
35,ยาฆ่าแมลง,แมลง,0.59904253,1.89
36,ตำรวจ,นักการเมือง,0.45336285,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.6516905,2.19
38,แบตเตอรี่,พลังงาน,0.3878823,2.75
39,กองทหารเกียรติยศ,เครื่องเขียน,0.15008764,0.0
40,สไปเดอร์แมน,ถนน,0.14090812,0.27
41,คาบสมุทร,เกาะ,0.41689053,1.83
42,เส้นศูนย์สูตร,เอกวาดอร์,0.43887576,1.31
43,แผนผัง,กราฟ,0.28821963,2.25
44,การจำลอง,ศาสตร์หุ่นยนต์,0.38710594,1.59
45,ไนกี้,อดิดาส,0.4303935,3.16
46,สังคม,วัฒนธรรม,0.5300832,2.84
47,เกมกลยุทธ์,กลยุทธ์,0.87077445,3.13
48,โบสถ์,โบสถ์ใหญ่,0.85263246,3.75
49,ล่าม,ชาวต่างชาติ,0.30010042,2.17
50,ไปโอโทป,ชีววิทยา,0.41974264,2.67
51,แมกม่า,ภูเขาไฟ,0.45209253,2.75
52,การระดมสมอง,กล้องโทรทรรศน์,0.2555842,0.27
53,ระดับ,คะแนน,0.2567354,2.55
54,เพนนี,ต่อรอง,0.23119727,0.61
55,พรรคการเมือง,สมาคม,0.2586283,2.31
56,สึนามิ,ทะเล,0.36233163,2.14
57,นกกระจอกเทศ,สวนกล้วยไม้,0.4186498,0.06
58,อบเชย,ลูกอม,0.3844054,0.38
59,ไม้กวาด,ฝุ่น,0.43717688,2.19
60,แกแลคซี่,นักดาราศาสตร์,0.24140881,2.13
61,น้ำผลไม้,มิลค์เชค,0.3981121,2.31
62,มู่ลี่,ม่าน,0.66620064,3.38
63,อาชญากร,ผู้กระทำผิด,0.5603378,3.58
64,มะเร็งตับอ่อน,การทำคีโม,0.5208974,2.05
65,อดีต,มาก่อน,0.32018557,2.86
66,สหประชาชาติ,รัฐสภายุโรป,0.57543635,2.85
67,เพลง,ผู้แสดง,0.29937202,1.41
68,ปืน,โน๊ตบุ๊ค,0.2133936,0.0
69,สารสื่อประสาท,ม่านตา,0.38010624,1.77
70,อักษร,ปากกา,0.2770474,1.78
71,ประสานเสียง,นักร้อง,0.48734373,2.36
72,ไม้,ผ้าห่ม,0.24066211,0.06
73,ทหาร,สันติภาพ,0.3230322,1.69
74,ชาวอังกฤษ,ชาวอเมริกัน,0.6873849,2.78
75,กิ้งก่า,จระเข้,0.48676088,2.41
76,เงิน,เงินสด,0.58205414,3.7
77,ปลาหมึกพอล,ปลาหมึกยักษ์,0.8623095,3.48
78,ปฏิทิน,วันหยุด,0.2611965,1.98
79,เบส,สารเคมี,0.18204659,2.23
80,รัฐบาล,กิ้งก่า,0.13533682,0.13
81,เงินเยน,การฟอกเงิน,0.47222006,1.09
82,ดีพไมนด์,กูเกิ้ล ดีพไมนด์,0.7178074,2.95
83,หมากรุก,รุก,0.24881805,1.45
84,โคลง,ความงาม,0.06917176,0.8
85,คนงาน,สำนักงาน,0.28628877,1.58
