,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.35664684,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.5146311,1.08
2,รถยนต์,จักรยาน,0.37359285,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.27322465,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0,3.95
5,ช้อผิดพลาด,ระบบ,0.26806924,1.28
6,อาวุธ,หมวกนิรภัย,0.27310058,0.84
7,คนเขียนบท,โทรทัศน์,0.2678037,1.41
8,สหประชาชาติ,บัน คี มูน,0.31140518,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.5258899,2.38
10,โบสถ์ใหญ่,โมเสค,0.36506823,1.69
11,การวาดภาพสีน้ำ,แปรง,0.277752,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.5970452,2.19
13,เกาส์,นักวิทยาศาสตร์,0.26198873,1.09
14,วัณโรค,แอลอีดี,0.4006793,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.41474855,3.7
16,วันสิ้นโลก,ไฟ,0.16448043,0.67
17,ความเร็ว,ไปรษณีย์,0.11156745,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.8816773,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.65017635,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.4453837,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.4188928,2.98
22,ตัวชี้,สไลด์,0.27844706,1.81
23,เซ็นเซอร์,รังสี,0.26874417,2.23
24,ตี,กรอบ,0.15092155,0.55
25,ทฤษฎี,สมมติฐาน,0.53060234,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.4204557,2.59
27,ดาร์วิน,วิวัฒนาการ,0.24359308,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.8717599,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.655522,2.44
30,เพลงชาติ,การรักชาติ,0.42373568,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.5047999,3.47
32,นมเนย,น้ำผึ้ง,0.4772846,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0000001,4.0
34,ชักเย่อ,บันไดงู,0.34529105,1.58
35,ยาฆ่าแมลง,แมลง,0.63785845,1.89
36,ตำรวจ,นักการเมือง,0.40578052,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.6621905,2.19
38,แบตเตอรี่,พลังงาน,0.42414382,2.75
39,กองทหารเกียรติยศ,เครื่องเขียน,0.1988733,0.0
40,สไปเดอร์แมน,ถนน,0.13365515,0.27
41,คาบสมุทร,เกาะ,0.37577745,1.83
42,เส้นศูนย์สูตร,เอกวาดอร์,0.4154692,1.31
43,แผนผัง,กราฟ,0.31741926,2.25
44,การจำลอง,ศาสตร์หุ่นยนต์,0.39984882,1.59
45,ไนกี้,อดิดาส,0.40048555,3.16
46,สังคม,วัฒนธรรม,0.5215075,2.84
47,เกมกลยุทธ์,กลยุทธ์,0.88892084,3.13
48,โบสถ์,โบสถ์ใหญ่,0.85117877,3.75
49,ล่าม,ชาวต่างชาติ,0.3304387,2.17
50,ไปโอโทป,ชีววิทยา,0.26724634,2.67
51,แมกม่า,ภูเขาไฟ,0.256321,2.75
52,การระดมสมอง,กล้องโทรทรรศน์,0.27876183,0.27
53,ระดับ,คะแนน,0.26035187,2.55
54,เพนนี,ต่อรอง,0.1936256,0.61
55,พรรคการเมือง,สมาคม,0.26417696,2.31
56,สึนามิ,ทะเล,0.32859656,2.14
57,นกกระจอกเทศ,สวนกล้วยไม้,0.3450629,0.06
58,อบเชย,ลูกอม,0.38562694,0.38
59,ไม้กวาด,ฝุ่น,0.47515747,2.19
60,แกแลคซี่,นักดาราศาสตร์,0.29397807,2.13
61,น้ำผลไม้,มิลค์เชค,0.44681174,2.31
62,มู่ลี่,ม่าน,0.59219396,3.38
63,อาชญากร,ผู้กระทำผิด,0.52749175,3.58
64,มะเร็งตับอ่อน,การทำคีโม,0.53841794,2.05
65,อดีต,มาก่อน,0.28744474,2.86
66,สหประชาชาติ,รัฐสภายุโรป,0.6004499,2.85
67,เพลง,ผู้แสดง,0.29640767,1.41
68,ปืน,โน๊ตบุ๊ค,0.13594604,0.0
69,สารสื่อประสาท,ม่านตา,0.30399007,1.77
70,อักษร,ปากกา,0.28432462,1.78
71,ประสานเสียง,นักร้อง,0.54564995,2.36
72,ไม้,ผ้าห่ม,0.24100982,0.06
73,ทหาร,สันติภาพ,0.3456082,1.69
74,ชาวอังกฤษ,ชาวอเมริกัน,0.6729942,2.78
75,กิ้งก่า,จระเข้,0.3868516,2.41
76,เงิน,เงินสด,0.5879496,3.7
77,ปลาหมึกพอล,ปลาหมึกยักษ์,0.8813089,3.48
78,ปฏิทิน,วันหยุด,0.21244259,1.98
79,เบส,สารเคมี,0.19063275,2.23
80,รัฐบาล,กิ้งก่า,0.06886423,0.13
81,เงินเยน,การฟอกเงิน,0.52825475,1.09
82,ดีพไมนด์,กูเกิ้ล ดีพไมนด์,0.70132464,2.95
83,หมากรุก,รุก,0.2924727,1.45
84,โคลง,ความงาม,0.06433766,0.8
85,คนงาน,สำนักงาน,0.3048019,1.58
86,เงินตรา,แลกเปลี่ยน,0.47933754,1.78
87,ใยสังเคราะห์,ฝ้าย,0.4683016,2.58
88,ศาล,ยุติธรรม,0.4281092,2.3
89,หาง,ท้าย,0.26160288,2.91
90,อุบัติเหตุ,หนังสือ,0.044776194,0.06
91,พายุ,ลม,0.35204223,2.77
92,เปียโน,ประสานเสียง,0.47640744,1.95
93,สุลต่าน,กระทรวง,0.21990268,0.72
94,ทะเลทราย,เนินทราย,0.4401624,2.5
95,การคูณ,การหาร,0.40413108,2.75
96,ไวรัส,เลือด,0.3105367,1.41
97,ยุคน้ำแข็ง,พระราชบัญญัติ,0.16786802,0.0
98,ดาบ,สภาพแวดล้อม,0.09707154,0.06
99,โรงเรียนประถม,ปากกา,0.15735525,0.78
100,จิ้งหรีด,ผู้สนับสนุน,0.12097145,0.0
101,ประติมากรรม,รูปปั้น,0.57900655,3.52
102,เว็บเบราเซอร์,ไฟร์ฟอกซ์,0.64300543,3.25
103,ฟอกซ์ เทอร์เรียร์,แคนอน,0.4199448,0.61
104,เอชเอสบีซี,ประเทศอังกฤษ,0.43586025,0.73
105,คัมภีร์ไบเบิ้ล,พระกิตติคุณ,0.44864947,1.81
