,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.25354207,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.46469927,1.08
2,รถยนต์,จักรยาน,0.48649597,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.17257991,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0000001,3.95
5,ช้อผิดพลาด,ระบบ,0.2842439,1.28
6,อาวุธ,หมวกนิรภัย,0.3769601,0.84
7,คนเขียนบท,โทรทัศน์,0.46604645,1.41
8,สหประชาชาติ,บัน คี มูน,0.2952592,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.50650686,2.38
10,โบสถ์ใหญ่,โมเสค,0.34058475,1.69
11,การวาดภาพสีน้ำ,แปรง,0.3818575,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.4783718,2.19
13,เกาส์,นักวิทยาศาสตร์,0.2481783,1.09
14,วัณโรค,แอลอีดี,0.38781372,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.4792634,3.7
16,วันสิ้นโลก,ไฟ,0.16224067,0.67
17,ความเร็ว,ไปรษณีย์,0.11802394,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.8957235,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.6670702,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.4593457,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.47617066,2.98
22,ตัวชี้,สไลด์,0.2748683,1.81
23,เซ็นเซอร์,รังสี,0.35036123,2.23
24,ตี,กรอบ,0.15224318,0.55
25,ทฤษฎี,สมมติฐาน,0.6694621,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.43361506,2.59
27,ดาร์วิน,วิวัฒนาการ,0.1592359,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.8908473,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.6291784,2.44
30,เพลงชาติ,การรักชาติ,0.3537973,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.5576536,3.47
32,นมเนย,น้ำผึ้ง,0.4334183,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0,4.0
34,ชักเย่อ,บันไดงู,0.2131398,1.58
35,ยาฆ่าแมลง,แมลง,0.5939635,1.89
36,ตำรวจ,นักการเมือง,0.3839558,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.6788949,2.19
38,แบตเตอรี่,พลังงาน,0.51109594,2.75
